DICIONARIO,,,,,,,,,,
PALAVRA/SINGULAR,,SIGNIFICADO/TRADUÇÃO,,CLASE,,PLURAL,,PRONÚNCIA,USO,AMBIENTE
Oikaia,,Cozinha / Despensa de castelo,,Subst. Fem.,,,,,Oika (Comida) + Aia (Casa/Lugar).,
Somaia,,Aposentos / Quarto de dormir,,Subst. Fem.,,,,,Soma (Sono) + Aia (Lugar).,
Rahaia,,Casa de Banhos / Lavatório,,Subst. Fem.,,,,,Raha (Lavar) + Aia (Lugar).,
Kopoia,,Adega de Bebidas (Vinhos/Cervejas),,Subst. Fem.,,,,,Kopo (Taça) + Aia (Lugar).,
Hiraia,,Quintal / Pátio Interno,,Subst. Neutro,,,,,Hira (Caminho) + Aia (Lugar).,
Tobekoti,,Chaminé,,Subst. Masc.,,,,,Tobe (Tijolo) + Koti (Estrutura/Construção).,
Uolazaji,,Vidraça Fina (Sinal de Riqueza),,Subst. Fem.,,,,,Uola (Janela) + Zaji (Vidro).,
Lomahebsa,,Lençol / Cobertor de Cama,,Subst. Neutro,,,,,Loma (Cama) + Hebsa (Tecido/Roupa).,
Tanashea,,Mesa de Jantar Comum,,Subst. Fem.,,,,,Tana (Mesa) + Shea (Madeira).,
Sitaona,,Banco de Pedra (Praça pública),,Subst. Masc.,,,,,Sita (Assento) + Ona (Pedra).,
Koujimate,,Dardo / Faca de Arremesso,,Subst. Masc.,,,,,Kouji (Pequeno) + Mata (Martelo/Arma pesada alterada).,
Soteia,,Aljava (Onde guardam flechas),,Subst. Fem.,,,,,Sote (Flecha) + -ia (Lugar).,
Pitetami,,Arqueiro / Fabricante de Arcos,,Subst. Masc.,,,,,Pite (Arco) + Tami (Fazer/Aquele que usa).,
Mishabani,,Escudo Redondo (Estilo Viking),,Subst. Masc.,,,,,Misha (Batalha) + Bani (Círculo/Roda).,
Kelakouji,,Broquel / Escudo de Pulso,,Subst. Masc.,,,,,Kela (Escudo) + Kouji (Pequeno).,
Sifrana,,Bainha da Espada,,Subst. Fem.,,,,,"O ""bom lugar"" (Na) da Espada (Sifa).",
Romenartē,,Alabarda / Lança de Guarda Real,,Subst. Fem.,,,,,Romena (Lança) + Artē (Supremo).,
Onanuja,,Catapulta / Trebuchet,,Subst. Fem.,,,,,Ona (Pedra) + Nuja (Lançar).,
Matoaia,,Quartel / Caserna Militar,,Subst. Fem.,,,,,Mato (Soldado) + Aia (Casa).,
Jeduia,,Marcha Militar / Desfile de Guerra,,Subst. Fem.,,,,,Jedu (Marchar/Avançar) + -ia (Ação).,
Joahebsa,,Chapéu / Gorro / Elmo leve,,Subst. Masc.,,,,,Joa (Cabeça) + Hebsa (Roupa).,
Totaratis,,Luvas Pesadas (Couro/Trabalho),,Subst. Fem.,,,,,Tota (Mão) + Ratis (Calçado/Proteção grossa).,
Lasaia,,Cinto de Utilidades / Cinto de Poções,,Subst. Masc.,,,,,Lasa (Cinto) + -ia (Que guarda objetos).,
Nefaboku,,Colar de Joias Ricas,,Subst. Masc.,,,,,Nefa (Belo) + Boku (Colar).,
Alkaruka,,Anel de Selo / Anel com Pedra,,Subst. Masc.,,,,,Alka (Preciosa) + Ruka (Anel).,
Hebsaura,,Vestido de Baile / Vestes de Rainha,,Subst. Fem.,,,,,Hebsa (Roupa) + Ura (Rainha).,
Aromakaba,,Capa de Couro de Viagem,,Subst. Fem.,,,,,Aroma (Couro) + Kaba (Manto).,
Kimihebsa,,Roupa Tingida (Status alto),,Subst. Fem.,,,,,Kimi (Cor) + Hebsa (Roupa).,
Kamatresh,,Púrpura / Cor da Realeza,,Adjetivo,,,,,Kama (Escuro) + Tresha (Vermelho).,
Wotabera,,Verde Claro / Verde Primavera,,Adjetivo,,,,,Wota (Verde) + Bera (Novo).,
Nohem,,Salvar / Resgatar (O ato heroico),,Verbo,,,,,Copta: Nouhm.,
Talo,,Levantar / Erguer algo muito pesado,,Verbo,,,,,Copta: Talo.,
Misho,,Bater covardemente / Espancar,,Verbo,,,,,Copta: Mishi. (Origem pejorativa de Misha).,
Romihe,,Chorar em voz alta / Soluçar,,Verbo,,,,,Copta: Rimi + He (Cair lágrimas).,
Soli,,Consolar / Acalmar alguém,,Verbo,,,,,Copta: Solsl.,
Shofi,,Acolher / Receber em casa,,Verbo,,,,,Raiz Nova.,
Uteha,,Colher a plantação inteira,,Verbo,,,,,Copta: Outeh (Agricultura pesada).,
Soki,,Moer / Triturar grãos ou pedras,,Verbo,,,,,Copta: Sōki.,
Foti,,Apagar / Extinguir (um fogo),,Verbo,,,,,Copta: Fōte. (Muito usado na Magia de Água).,
Goli,,"Enrolar / Dobrar (cordas, tecidos, corpos)",,Verbo,,,,,Raiz Nova (Ação física rápida).,
Eshani,,Frequente / Muitas vezes,,Advérbio,,,,,Eshan (Ambos/Múltiplos) + -i.,
Mutan,,Nenhuma vez / Nunca (Enfático),,Advérbio,,,,,"Mut (Nem) + An (Não). ""De jeito nenhum"".",
Soman,,Inesperadamente / De surpresa,,Advérbio,,,,,Acordar,
Molihi,,Facilmente / Sem esforço,,Advérbio,,,,,Moli (Fácil) + sufixo -hi.,
Kasihi,,Dificilmente / A muito custo,,Advérbio,,,,,Kasi (Difícil) + sufixo -hi.,
Vojihi,,Corretamente / Conforme a Lei,,Advérbio,,,,,Voji (Certo) + sufixo -hi.,
Fariholo,,De qualquer maneira,,Advérbio,,,,,Fari (Método) + Holo (Todos).,
Tiholo,,Em todo e qualquer lugar,,Advérbio,,,,,To (Lugar) + Holo (Todos).,
Zoruna,,Cuidadosamente / Com máxima atenção,,Advérbio,,,,,Zoru (Focado) + -na.,
Shanhi,,Lentamente / Aos pouquinhos,,Advérbio,,,,,Shan (Pouco) + sufixo -hi.,
Hētkan,,Fervor / Devoção Ardente,,Subst. Masc.,,,,,Hēt (Coração) + Kan (Brilho).,
Minasura,,Melancolia / Vazio existencial,,Subst. Fem.,,,,,Mina (Mente) + Sura (Vazio/Morta).,
Linafeno,,Euforia / Êxtase Mágico,,Subst. Fem.,,,,,Lina (Alegria) + Feno (Demais).,
Humahe,,Desespero / Perda total de esperança,,Subst. Masc.,,,,,Huma (Medo) + He (Cair).,
Matunahe,,"Alívio (Paz que ""cai"" sobre você)",,Subst. Fem.,,,,,Matu (Paz) + Na + He (Cair).,
Diraia,,Luto / O período da dor,,Subst. Fem.,,,,,Dira (Dor) + -ia (Lugar/Tempo estendido).,
Krofasori,,Culpa por traição / Remorso pesado,,Subst. Fem.,,,,,Krofa (Trair) + Sori (Culpa).,
Nataholo,,Lealdade Inabalável,,Subst. Fem.,,,,,Nata (Confiar) + Holo (Tudo/Completo).,
Hoshfeno,,Pânico Generalizado,,Subst. Masc.,,,,,Hosh (Terror) + Feno (Demais).,
Koranuti,,Virtude / Bravura Divina,,Subst. Fem.,,,,,Kora (Coragem) + Nuter (Divina).,
Hroa,,Chuva torrencial	,,Subst. Fem.,,,,,Raiz Copta Pura (Hroou).,
Hroajom,,Sereno,,Subst. Fem.,,,,,Hroa (Chuva) + Jom (Força/Forte).,
Kharam,,Trovão (O som),,Subst. Masc.,,,,,Raiz Nova onomatopeica/Copta.,
Kanhora,,Raio,,Subst. Masc.,,,,,Kan (Brilho) + Hora (Céu/Rápido).,
Khol,,Névoa,,Subst. Fem.,,,,,Raiz Copta Pura (Khol / Escurecer).,
Kros,,Floco de neve,,Subst. Masc.,,,,,Raiz Inédita. (Diferente de Kiona = Neve).,
Kaiastot,,Terremoto,,Subst. Masc.,,,,,Kaia (Terra/Mundo) + Stato/Stot (Tremer).,
Nifshan,,Brisa Leve / Vento suave,,Subst. Masc.,,,,,Nif (Vento/Sopro) + Shan (Pouco).,
Borian,,Ciclone,,Subst. Masc.,,,,,Derivado do vento forte que destrói bordas (Bori).,
Uolamōa,,Arco-íris,,Subst. Masc.,,,,,Uola (Janela/Visão) + Mōa (Água). A visão na água.,
Zavani,,Economia,,Subst. Fem.,,,,,Zava (Riqueza) + -ni (Sufixo para peça pequena).,
Eshoto,,Feira livre,,Subst. Masc.,,,,,Eshot (Comerciante) + To (Lugar).,
Hapo,,Favorito,,Subst. Neutro,,,,,Raiz Copta Pura (Hap = Julgamento/Valor).,
Banu,,Metal (Geral),,Subst. Masc.,,,,,Raiz Copta Pura (Beni/Banu = Ferro).,
Banutami,,Forjador,,Subst. Masc.,,,,,Banu (Metal) + Tami (Fazer/Aquele que faz).,
Koiaromi,,Fazendeiro / Agricultor,,Subst. Masc.,,,,,Koia (Campo) + Romi (Homem).,
Shepa,,obter,,Verbo,,,,,Raiz Copta Pura (Shōp).,
Tiashepa,,entregar,,Verbo,,,,,"Tia (Dar) + Shepa (Comprar). ""Fazer o outro comprar"".",
Shika,,Tirar,,Verbo,,,,,Raiz Inédita (Som sorrateiro).,
Hatab,,Ciclo,,Subst. Fem.,,,,,Raiz Inédita.,
Hoabera,,Manhã (Nascer do Sol),,Subst. Fem.,,,,,Huo/Hoa (Dia) + Bera (Novo).,
Siuma,,Ontem,,Subst. Masc.,,,,,,
Siumin,,Depois de amanhã,,Subst. Fem.,,,,,,
Tenu,,Instante,,Advérbio / Subst.,,,,,,
Hormeto,,Enorme,,Advérbio / Subst.,,,,,,
Moshasiu,,Monte,,Advérbio / Subst.,,,,,"Mosha (Caminhar) + Siu (Tempo). ""Tempo de caminhada"".",
Kanau,,Calendário,,Subst. Masc.,,,,,Raiz Inédita (A união da leitura dos astros).,
Shona,,Doença / Enfermidade,,Subst. Fem.,,,,,Raiz Copta Pura (Shōne).,
Pahri,,Remédio / Poção de Cura,,Subst. Neutro,,,,,Raiz Copta Pura (Pahri).,
Anom,,Livre,,Subst. Fem.,,,,,Raiz Copta Pura (Anom).,
Fo,,Cabelo / Pelo,,Subst. Masc.,,,,,Raiz Copta Pura (Fō).,
Minaia,,Cérebro ,,Verbo,,,,,Mina (Mente) + -ia (Verbo).,
Minakoto,,Recordar,,Verbo,,,,,"Mina (Mente) + Koto (Voltar). ""A mente que volta"".",
Somabol,,Ressuscitar ,,Verbo,,,,,"Soma (Dormir/Sono) + Abol (Fora). ""Sair do sono"".",
Uom,,Alimento,,Verbo,,,,,Raiz Copta Pura (Ouōm).,
Sō,,Engolir,,Verbo,,,,,Raiz Copta Pura (Sō).,
Shena,,Dúvida,,Verbo,,,,,Raiz Copta Pura (Shine).,
Kotosaja,,Responder,,Verbo,,,,,"Koto (Voltar) + Saja (Falar). ""A fala que volta"".",
Hōba,,Trabalhar ,,Verbo,,,,,Raiz Copta Pura (Hōb = Trabalho).,
Lasho,,Gargalhar,,Verbo,,,,,"Derivado de Lisha (Festejar), mas focado no som.",
Romihe,,Prantos (aos prantos),,Verbo,,,,,(Oficializado do lote anterior) Rimi + He.,
Krofa,,Mentir,,Verbo,,,,,Raiz Copta Pura (Krof = Engano).,
Krofameto,,Faltar,,Verbo,,,,,Krofa (Enganar) + Meto (Coisa).,
Nata,,Confiar,,Verbo,,,,,Raiz Copta Pura (Nahte = Confiança).,
Shibrato,,Amizade,,Subst. Fem.,,,,,Shibra (Amigo) + -to (Estado/Conceito de).,
Nifbani,,Moinho de vento,,Subst. Masc.,,,,,"Aglutinação: Nif (Vento) + Bani (Roda/Círculo). ""A roda do vento"".",
Mōabani,,Moinho de água,,Subst. Masc.,,,,,Aglutinação: Mōa (Água) + Bani (Roda).,
Nosh,,Farinha,,Subst. Fem.,,,,,Raiz Copta Pura (Nōsh = Farinha/Grão moído).,
Kelto,,Engrenagem / Mecanismo,,Subst. Masc.,,,,,Nova Raiz: Baseada no som de catracas girando.,
Sitoa,,Celeiro / Armazém,,Subst. Masc.,,,,,Aglutinação: Sita (Semente/Grãos) + Toa (Lugar/Depósito).,
Noshromi,,Moleiro (Dono do moinho),,Subst. Masc.,,,,,Aglutinação: Nosh (Farinha) + Romi (Homem/Pessoa).,
Lafi,,Ferramenta / Utensílio,,Subst. Fem.,,,,,"Raiz Copta Pura (Já tínhamos usado em Takalafi = Arma, agora isolada).",
Fotishea,,Vassoura,,Subst. Fem.,,,,,Aglutinação: Foti (Limpar/Apagar) + Shea (Madeira).,
Klolafi,,Chave,,Subst. Fem.,,,,,Aglutinação: Klo (Fechar/Trancar) + Lafi (Ferramenta).,
Nayazaji,,Reflexo,,Subst. Masc.,,,,,"Aglutinação: Naya (Olhar/Ver) + Zaji (Vidro). ""O vidro que olha"".",
Sarugema,,Sexo / O ato carnal,,Subst. Neutro,,,,,"Aglutinação: Saru (Carne/Corpo) + Gema (Encontrar/Unir). ""O encontro da carne"".",
Sarugemia,,Copular / Fazer sexo,,Verbo,,,,,A transformação de Sarugema em verbo com o sufixo -ia.,
Uasha,,Desejo / Luxúria / Tesão,,Subst. Masc.,,,,,Raiz Copta Pura (Ouōsh = Desejar intensamente).,
Menri,,Amante / Parceiro(a) carnal,,Subst. Masc/Fem,,,,,"Raiz Copta Pura (Menrit = O amado, aquele com quem se deita).",
Besh,,Nu / Nudez,,Adjetivo / Subst.,,,,,Raiz Copta Pura (Bēsh = Despido/Nu).,
Pikota,,Beijo ardente / Beijo íntimo,,Subst. Masc.,,,,,Aglutinação: Pi (Beijo) + Kota (Fogo). Diferente de um beijo no rosto.,
Hapasaru,,Órgão genital / Partes íntimas,,Subst. Fem.,,,,,Aglutinação: Hapa (Oculto/Escondido) + Saru (Carne).,
Linasaru,,Prazer carnal / Orgasmo,,Subst. Masc.,,,,,Aglutinação: Lina (Alegria/Êxtase) + Saru (Carne).,
Linaromi,,Cortesã / Prostituto(a),,Subst. Masc/Fem,,,,,"Aglutinação: Lina (Prazer) + Romi (Pessoa). ""A pessoa do prazer"".",
Sokmina,,Sedução / Charme,,Subst. Fem.,,,,,"Aglutinação: Soka (Puxar/Atrair) + Mina (Mente). ""Puxar a mente (do outro)"".",
Sita,,Sêmen / Semente reprodutiva,,Subst. Fem.,,,,,Raiz Copta Pura (Sit = Semente da vida).,
Kashuba,,Gravidez / Gestação,,Subst. Fem.,,,,,Raiz Nova (A união da proteção à nova vida no ventre).,
Abolromi,,Estrangeiro,,Subst. Masc.,,,,,Aglutinação: Abol (De fora/Além) + Romi (Pessoa).,
Khashromi,,Vizinho,,Subst. Masc.,,,,,Aglutinação: Khash (Próximo/Perto) + Romi (Pessoa).,
Sōromi,,Taverneiro,,Subst. Masc.,,,,,Aglutinação: Sō (Beber/Bebida) + Romi (Pessoa).,
Pahriomi,,Curandeiro / Boticário,,Subst. Masc.,,,,,Aglutinação: Pahri (Remédio) + Romi (Pessoa).,
Guri,,Criança / Menino(a),,Subst. Masc/Fem,,,,,Raiz Inédita. Um termo mais carinhoso e cotidiano do que Alu (jovem).,
Gurasema,,Cantor / Vocalista,,Subst. Masc/Fem,,,,,Aglutinação: Gura (Música/Canção) + Sema (Voz).,
Zavaromi,,Aristocrata / Pessoa Rica,,Subst. Masc.,,,,,Aglutinação: Zava (Riqueza) + Romi (Pessoa).,
Krofasaru,,Desgraçado / Pedaço de Carne Podre,,Subst. Masc.,,Krofasaruis,,,,
Beshmina,,Idiota / Mente Nua (Sem inteligência),,Subst. Masc/Fem,,Beshminais,,,,
Shatorkruk,,F*dido / Amaldiçoado pelo Caos,,Adjetivo/Subst.,,Shatorkrukis,,,,
Fo-nu,,"""Seu lixo!"" (Usando o sufixo depreciativo -nu)",,Interjeição,,-,,,,
Shēnkaki,,"""Vá para as sombras!"" / Vá pro inferno",,Expressão,,-,,,,
Jolmaromi,,Mentiroso / Bastardo (Falso),,Subst. Masc.,,Jolmaromis,,,,
Sita-ku,,Semente podre / Filho da p*ta,,Subst. Masc/Fem,,Sita-kuis,,,,
Nukahe,,Merda! / Maldição!,,Interjeição,,-,,,,
Nukametos,,Restos / Fezes / Lixo orgânico,,Subst. Neutro,,Nukametosis,,,,
Grogmina,,Verme / Pessoa asquerosa (Mente de inseto),,Subst. Masc/Fem,,Grogminais,,,,
Huka,,Cuspir (Muito usado como ofensa),,Verbo,,-,,,,
Pota,,Chutar / Dar um chute,,Verbo,,-,,,,
Noka,,Morder / Arrancar com os dentes,,Verbo,,-,,,,
Grasa,,Rastejar / Humilhar-se no chão,,Verbo,,-,,,,
Shofi,,Empurrar bruscamente,,Verbo,,-,,,,
Tobahe,,Tropeçar / Cair sozinho,,Verbo,,-,,,,
Hōbakasi,,Sofrer / Trabalhar até a exaustão,,Verbo,,-,,,,
Nefakrofa,,Fingir / Disfarçar (Falsa beleza),,Verbo,,-,,,,
Yarajom,,Mastro Principal,,Subst. Masc.,,Yarajomis,,,,
Hebsayara,,Vela do navio,,Subst. Fem.,,Hebsayarais,,,,
Mōafari,,Leme / Volante do navio,,Subst. Neutro,,Mōafariis,,,,
Samihor,,Âncora (A corda pesada),,Subst. Fem.,,Samihoris,,,,
Yarabori,,Proa / A frente do navio,,Subst. Fem.,,Yaraboriis,,,,
Yarapahu,,Popa / A traseira do navio,,Subst. Fem.,,Yarapahuis,,,,
Nifshepa,,Vento a favor / Boa viagem,,Subst. Masc.,,Nifshepais,,,,
Mōakruk,,Pirata / Saqueador dos mares,,Subst. Masc.,,Mōakrukis,,,,
Kopoia-yara,,Porão do navio / Área de carga,,Subst. Fem.,,Kopoia-yarais,,,,
Mōatami,,Marinheiro / Marujo comum,,Subst. Masc.,,Mōatamiis,,,,
Nutais ,,Deuses,,Subst. Neutro,,,,,Nutais (Os deuses),
Mai,,Abençoar,,Verbo,,,,,,
Ani,,Me / Mim,,Pron. Oblíquo,,,,,Derivado de Ana (Eu). Ex: Nof naya ani. (Ele me olha / Ele olha para mim).,
Enti,,Te / Ti,,Pron. Oblíquo,,,,,Derivado de Ento (Tu/Você). Ex: Ana maia enti. (Eu te amo).,
Nofi,,Lhe / O (Ele),,Pron. Oblíquo,,,,,Derivado de Nof (Ele). Usado para objetos diretos e indiretos masculinos.,
Nasi,,Lhe / A (Ela),,Pron. Oblíquo,,,,,Derivado de Nas (Ela).,
Sui,,Si / A si mesmo,,Pron. Reflexivo,,,,,Raiz Inédita. Um pronome neutro universal para quando a pessoa faz a ação contra si mesma.,
Anoni,,Nos (Nós),,Pron. Oblíquo,,,,,Derivado de Anon (Nós). Ex: Te uro nahta anoni. (O rei nos protege).,
Uri,,Vos,,Pron. Oblíquo,,,,,Derivado da mesma raiz ancestral que formou o vosso (Pura).,
Naei,,Lhes / Os / As,,Pron. Oblíquo,,,,,Derivado de Nae (Eles/Elas).,
Henani,,Comigo,,Pron. Companhia,,,,,Hena + Ani. Ex: Mosha henani. (Caminhe comigo).,
Henanti,,Contigo,,Pron. Companhia,,,,,Hena + Enti.,
Henasui,,Consigo (Com ele mesmo),,Pron. Companhia,,,,,Hena + Sui. Usado de forma reflexiva (Ele levou o ouro consigo).,
Henanofi,,Com ele (Direto),,Pron. Companhia,,,,,Hena + Nofi. Usado quando você fala de uma terceira pessoa.,
Henanasi,,Com ela (Direto),,Pron. Companhia,,,,,Hena + Nasi.,
Henanoni,,Conosco,,Pron. Companhia,,,,,"Hena + Anoni. A vogal ""A"" inicial é ""engolida"" na fala.",
Henauri,,Convosco,,Pron. Companhia,,,,,Hena + Uri.,
Henanaei,,Com eles / Com elas,,Pron. Companhia,,,,,Hena + Naei.,
